B--------------------------------------------------b                   B--------------------------------------------------b
C~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~c                   C~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~c
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
X-------------------DDDDD--------------------------x                   X--------------------------DDDDD-------------------x
Y~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~~~~~~~y                   Y~~~~~~~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~y
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
--------------------DDDDD---------------------------                   ---------------------------DDDDD--------------------
~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~~~~~~~~                   ~~~~~~~~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
--------------------DDDDD---------------------------                   ---------------------------DDDDD--------------------
~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~~~~~~~~                   ~~~~~~~~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
                   |_____|                                                                       |_____|                   
--------------------DDDDD---------------------------                   ---------------------------DDDDD--------------------
~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~~~~~~~~                   ~~~~~~~~~~~~~~~~~~~~~~~~~~~DDDDD~~~~~~~~~~~~~~~~~~~~
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________D___________________D__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
!__________________________________________________|                   !__________________________________________________|
